Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/01/1984;0,016668304;8,07E-09;0,01524491;1,21E-05;0,032113059;1,38E-08;0,0134084;5,6124
01/02/1984;0,0151986;8,07E-09;0,013936292;1,21E-05;0,030312497;1,38E-08;0,0122116;5,6124
01/03/1984;0,01388;8,07E-09;0,012699373;1,21E-05;0,024913698;1,38E-08;0,0108741;5,6124
01/04/1984;0,012740958;8,07E-09;0,011562754;1,21E-05;0,022781363;1,38E-08;0,0098855;5,6124
01/05/1984;0,011631329;8,07E-09;0,010557665;1,21E-05;0,021829593;1,38E-08;0,0090776;5,6124
01/06/1984;0,010666052;8,07E-09;0,00971177;1,21E-05;0,020214458;1,38E-08;0,0083358;5,6124
01/07/1984;0,009689364;8,07E-09;0,008832093;1,21E-05;0,018557291;1,38E-08;0,0076335;5,6124
01/08/1984;0,008830991;8,07E-09;0,008094669;1,21E-05;0,017629956;1,38E-08;0,0069206;5,6124
01/09/1984;0,008075895;8,07E-09;0,007455714;1,21E-05;0,013815497;1,38E-08;0,0062574;5,6124
01/10/1984;0,007226752;8,07E-09;0,006710814;1,21E-05;0,013082857;1,38E-08;0,0056628;5,6124
01/11/1984;0,0065436;8,07E-09;0,006073684;1,21E-05;0,012042394;1,38E-08;0,0050291;5,6124
01/12/1984;0,005920203;8,07E-09;0,005505016;1,21E-05;0,011084678;1,38E-08;0,0045761;5,6124
01/01/1985;0,005286839;8,07E-09;0,004931926;1,21E-05;0,010248408;1,38E-08;0,0041412;5,6124
01/02/1985;0,004730529;8,07E-09;0,004409805;1,21E-05;0,009530743;1,38E-08;0,0036778;5,6124
01/03/1985;0,004266735;8,07E-09;0,003974588;1,21E-05;0,008430555;1,38E-08;0,0033374;5,6124
01/04/1985;0,003873216;8,07E-09;0,003615234;1,21E-05;0,007554938;1,38E-08;0,0029613;5,6124
01/05/1985;0,003579682;8,07E-09;0,003329558;1,21E-05;0,006943877;1,38E-08;0,0026481;5,6124
01/06/1985;0,003339256;8,07E-09;0,003105931;1,21E-05;0,005672175;1,38E-08;0,0024072;5,6124
01/07/1985;0,003077939;8,07E-09;0,002867101;1,21E-05;0,005332495;1,38E-08;0,0022042;5,6124
01/08/1985;0,002790263;8,07E-09;0,002604561;1,21E-05;0,004856553;1,38E-08;0,0020483;5,6124
01/09/1985;0,002490194;8,07E-09;0,002333627;1,21E-05;0,004292896;1,38E-08;0,0018934;5,6124
01/10/1985;0,002240996;8,07E-09;0,002119745;1,21E-05;0,003916161;1,38E-08;0,0017355;5,6124
01/11/1985;0,00202585;8,07E-09;0,001922671;1,21E-05;0,003668535;1,38E-08;0,0015922;5,6124
01/12/1985;0,001777529;8,07E-09;0,001683895;1,21E-05;0,003032348;1,38E-08;0,0014329;5,6124
01/01/1986;0,001544738;8,07E-09;0,001454769;1,21E-05;0,002671437;1,38E-08;0,001264;5,6124
01/02/1986;0,001350649;8,07E-09;0,001264906;1,21E-05;0,002344188;1,38E-08;0,0010875;5,6124
